Title,Genre,Rating,Runtime,Release_Date,Release_Month,Release_Year,Budget,Cast_1,Cast_2,Cast_3,Director_1,Writer_1,Description,Tomatometer_Status,Tomatometer_Rating,Tomatometer_Count,Audience_Status,Audience_Rating,Audience_Count
Norm of the North,Action,PG ,86,1/15/2016,1,2016,18000000,Cast Not Available,Cast Not Available,Cast Not Available,Director Not Available,Writer Not Available,"A polar bear of many words, Norm's greatest gripe is simple: there is no room for tourists in the Arctic. But when a maniacal developer threatens to build luxury condos in his own backyard, Norm does what all normal polar bears would do...he heads to New York City to stop it. With a cast of ragtag lemmings at his side, Norm takes on the big apple, big business and a big identity crisis to save the day. -- (C) Lionsgate",Rotten,9,69,Spilled,22,7846
Independence Day: Resurgence,Action,PG-13 ,119,6/24/2016,6,2016,165000000,Liam Hemsworth,Jeff Goldblum,Bill Pullman,Roland Emmerich,Nicolas Wright,"We always knew they were coming back. After INDEPENDENCE DAY redefined the event movie genre, the next epic chapter delivers global catastrophe on an unimaginable scale. Using recovered alien technology, the nations of Earth have collaborated on an immense defense program to protect the planet. But nothing can prepare us for the aliens' advanced and unprecedented force. Only the ingenuity of a few brave men and women can bring our world back from the brink of extinction. (C) Fox",Rotten,30,226,Spilled,30,75088
National Treasure: Book of Secrets,Action,PG ,123,12/21/2007,12,2007,130000000,Nicolas Cage,Justin Bartha,Diane Kruger,Jon Turtletaub,Cormac Wibberly,"In this adventure-filled sequel to the 2004 blockbuster National Treasure, Nicolas Cage reprises his role as artifact hunter and archaeologist extraordinaire Ben Franklin Gates. In this outing, Gates learns of his own family's implication in the assassination of Abraham Lincoln by John Wilkes Booth. Gates must then locate an elusive diary, not only to clear his family's name, but to unearth and connect several secrets, buried within the book, that point to a massive, global conspiracy. The film co-stars Jon Voight, Harvey Keitel, and Helen Mirren as Ben's mother. Jerry Bruckheimer returns as producer. ~ Nathan Southern, Rovi",Rotten,36,130,Upright,67,1438999
Fire With Fire,Action,R ,97,11/6/2012,11,2012,20000000,Josh Duhamel,Bruce Willis,Rosario Dawson,David Barrett,Tom O'Connor,"A firefighter who witnessed a deadly convenience store robbery enters the Witness Protection program, but is forced out of hiding after being targeted for death by the racist crime boss who's determined to see him dead. Jeremy Coleman (Josh Duhamel) was just finishing a long day of work when he ducked into the store for a few beers. Little did he realize his life was about to be changed forever. In the blink of an eye, ruthless white supremacist Hagen (Vincent D'Onofrio) bursts into the store, and guns down the clerk in cold blood. Terrified, Jeremy makes a daring escape amidst a hail of gunfire. Later, Hagan is arrested and police detective Mike Cella (Bruce Willis) takes charge of the investigation. When Jeremy sits down to identify Hagen in the line-up, however, the sociopathic madman reveals that he knows everything about the ""anonymous"" witness behind the two-way mirror. As Hagan's trial approaches, Jeremy is forced to give up his job to be placed in the Witness Protection program. Meanwhile, he enters into a passionate romance with U.S. Marshal Talia Durham (Rosario Dawson). When Hagan's attorney succeeds in having his client released from prison just weeks before the trial, the killer's henchmen come gunning for Jeremy and Talia. The situation turns critical when Talia is mortally wounded, forcing Jeremy to flee for Long Beach, Ca. Once there, Jeremy realizes that his only hope for protecting Talia is to rally Hagan's enemies against him, and fight alongside them as they aim to take down the vengeful killer once and for all.",Rotten,7,15,Spilled,36,1993
The Towering Inferno,Action,PG ,165,12/17/1974,12,1974,14000000,Steve McQueen,Paul Newman,William Holden,John Guillermin,Sterling Silliphant,"On the day of its grand opening, the world's tallest building becomes victim to an electrical mishap and a subsequent huge fire on its upper floors, causing all of the city's rescue teams to converge upon the scene and attempt to fight against what is a raging monster.",Fresh,69,32,Upright,72,28338
The Alamo,Action,PG-13 ,137,4/9/2004,4,2004,12000000,Dennis Quaid,Billy Bob Thornton,Jason Patric,John Lee Hancock,Leslie Bohem,"The roads cross at San Antonio de Bexar at a small, ruined mission called The Alamo--a place where myth meets history and legend meets reality. In the spring of 1836 nearly 200 Texans--men of all races who believed in the future of Texas--held the fort for thirteen days under siege by General Antonio Lopez de Santa Anna, ruler of Mexico and commander of its forces. Led by three men--the young, brash Colonel William Travis; the violent, passionate James Bowie; and the larger-than-life living legend Davy Crockett--the Texans and their deeds at the Alamo would pass into history as General Sam Houston's rallying cry for Texas independence. As well, their actions would become legend for their symbolic significance.",Rotten,52,21,Upright,63,7337
Voyage to the Bottom of the Sea,Action,PG ,106,7/12/1961,7,1961,1580000,Walter Pidgeon,Joan Fontaine,Peter Lorre,Irwin Allen,Irwin Allen,"The basis for the television series of the same name, this film follows the adventures of Admiral Harriman Nelson (Walter Pidgeon) and his crew, as they use a special nuclear submarine to attempt to save the Earth from a deadly belt of radiation, while trying to evade the submarines sent out to stop them.",Fresh,76,17,Spilled,40,751
Driven,Action,PG-13 ,117,4/27/2001,4,2001,94000000,Sylvester Stallone,Burt Reynolds,Kip Pardue,Renny Harlin,Sylvester Stallone,"Sylvester Stallone wrote the screenplay for this action-packed drama directed by Renny Harlin and set in the dangerous, high-stakes world of CART auto racing. Jimmy Bly (Kip Pardue) is an up-and-coming young star of the open-wheel circuit, but he's slipping in the rankings as the championships loom. Under pressure from his promoter brother Demille (Robert Sean Leonard) and wheelchair-bound owner Carl Henry (Burt Reynolds), Jimmy is given a mentor -- Joe Tanto (Stallone), a once great CART competitor whose career and marriage to Cathy (Gina Gershon) were destroyed by a tragic accident. Joe must earn the rookie's trust, while attempting a career comeback, dealing with persistent reporter Lucretia Clan (Stacy Edwards), and facing Cathy, who's remarried to rival racing sensation Memo Moreno (Cristian de la Fuente). Meanwhile, Jimmy is stirring up his own romantic trouble by pursuing Sophia (Estella Warren), the girlfriend of top driver Beau Brandenburg (Til Schweiger). Long interested in creating a car racing drama, Stallone penned Driven after abandoning a film biography of real-life Formula One legend Ayrton Senna. ~ Karl Williams, Rovi",Rotten,14,111,Spilled,33,43198
Hudson Hawk,Action,R ,95,5/24/1991,5,1991,65000000,Bruce Willis,Danny Aiello,Andie MacDowell,Michael Lehmann,Bruce Willis,"Michael Lehmann's critically-blasted, big-budget flop stars Bruce Willis as Eddie Hawkins, a master thief who is blackmailed into one final heist before retirement.",Rotten,30,37,Spilled,56,44241
Battle For Terra,Action,PG ,79,5/1/2009,5,2009,4000000,Evan Rachel Wood,Justin Long,Luke Wilson,Aristomenis Tsirbas,Aristomenis Tsirbas,"When the peaceful inhabitants of the planet Terra come under attack from humans in search of a new home, the friendship between a human pilot and an alien girl may hold the key to saving both races. Mala (Evan Rachel Wood) is an alien girl living on the planet Terra. The Terrians are gentle race of extraterrestrials that have no need for war, and harbor a deep respect for nature. When Earth's natural resources began to dwindle, the human race established colonies on Venus and Mars. Although that solution worked temporarily, tragedy struck when the colonies on Venus and Mars attempted to declare independence from Earth, and all three planets were destroyed in the ensuing war. Now, humankind's only hope for survival is to reach Terra. The few remaining humans have developed a machine that will make Terra habitable for them yet poisonous for Terrians, and while the human council is dedicated to finding a peaceful means of coexisting with the Terrians, the villainous General Hemmer (Brian Cox) is fast losing patience. When heroic human fighter pilot Lt. Jim Stanton (Luke Wilson) crash-lands on Terra while chasing Mala into uncharted territory, the empathetic alien girl saves his life, and an interspecies friendship is forged. But time is running out for both the humans and the Terrians, and when General Hemmer stages a military coup d'tat, the stage is set for a battle that threatens to destroy both species. ~ Jason Buchanan, Rovi",Rotten,49,95,Spilled,41,69094
Airport '77,Action,PG ,114,3/11/1977,3,1977,6000000,Jack Lemmon,Lee Grant,Brenda Vaccaro,Jerry Jameson,Michael Scheff,"You want reality, get on a bus. You want elaborate, big-budgeted escapism, watch Airport '77. Let's see...we've already had the ""bomb or board"" plot (Airport) and the ""stewardess takes over the controls"" bit (Airport '75). That still leaves us the ""plane crashes into the ocean"" routine. Better still: the 747 is submerged 50 feet into the ocean, but the passengers are still alive and must be rescued before the oxygen supply ran out. Complicating matters are pair of criminals who'd rather there be no survivors. All-star roll call! Sound off now! Jack Lemmon as the pilot, James Stewart as a billionaire art fancier transporting his priceless paintings on the 747, Christopher Lee and Lee Grant as a famed oceanographer and his alcoholic wife (there's always at least one boozer on board), Joseph Cotten as Grant's lover, Olivia de Havilland as an art collector, plane designer Darren McGavin, and George Kennedy as the same guy he played in the first two Airports. While Airport '77 made less at the box office than its two predecessors, it was still profitable enough to spawn yet another sequel: The Concorde: Airport '79.",Rotten,33,9,Spilled,33,8510
